# Baseline txGemma-2b-predict on cold-target test fold (PRE-fine-tune)

Overall:  n=397  R=-0.049  ρ=-0.041  AUC=0.504
Score distribution: min=326  median=499  max=749  std=80.9  distinct=101/397

UniProt        n        R        ρ      AUC
O15303        10   -0.733   -0.575    0.938
P20309        20   -0.099   -0.340    0.766
P21728        20   +0.139   -0.022    0.484
P25021        20   -0.159   -0.120    0.531
P25025        20   +0.116   +0.226    0.406
P25103        20   -0.177   -0.252    0.641
P28566        15   +0.583   +0.534    0.167
P30550        12   -0.672   -0.547      nan
P30559        16   -0.365   -0.335    0.656
P30872        20   +0.135   +0.568    0.125
P33032        20   +0.269   +0.373    0.328
P35462        20   -0.508   -0.527    0.828
P41145        20   -0.067   -0.106    0.609
P43115        20   -0.265   -0.496    0.812
P46089         5   -0.149   -0.181    0.500
P47871        20   +0.426   +0.552    0.195
P49286        20   -0.416   -0.421    0.773
P50052        19   -0.043   +0.088    0.527
Q14416        20   +0.231   +0.085    0.469
Q16581        20   +0.158   +0.132    0.406
Q6W5P4        10   -0.236   +0.083      nan
Q8TDV5        13   +0.367   +0.461    0.250
Q96LB2        17   +0.121   +0.098    0.350
