uniprot_accession,uniprot_id,gene_name,protein_name,organism,sequence_length,uniprot_orphan_status,uniprot_ligand_info,iuphar_target_id,iuphar_name,iuphar_is_orphan,consensus_status,date_retrieved
O00254,PAR3_HUMAN,F2RL2,Proteinase-activated receptor 3,,374,unknown,,349,PAR3,1,orphan,2026-05-05
O14804,TAAR5_HUMAN,TAAR5,Trace amine-associated receptor 5,,337,unknown,,170,TAAR5,1,orphan,2026-05-05
O14843,FFAR3_HUMAN,FFAR3,Free fatty acid receptor 3,,346,unknown,,227,FFA3 receptor,0,cognate,2026-05-05
O43603,GALR2_HUMAN,GALR2,Galanin receptor type 2,,387,unknown,,244,GAL2 receptor,0,cognate,2026-05-05
O95047,OR2A4_HUMAN,OR2A4,Olfactory receptor 2A4,,310,unknown,,,,,unknown,2026-05-05
O95977,S1PR4_HUMAN,S1PR4,Sphingosine 1-phosphate receptor 4,,384,unknown,,278,S1P4 receptor,0,cognate,2026-05-05
P03999,OPSB_HUMAN,OPN1SW,Short-wave-sensitive opsin 1,,345,unknown,,2960,OPN1SW,1,orphan,2026-05-05
P04201,MAS_HUMAN,MAS1,Proto-oncogene Mas,,325,unknown,,150,MAS1,1,orphan,2026-05-05
P08172,ACM2_HUMAN,CHRM2,Muscarinic acetylcholine receptor M2,,466,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:36690613).",14,M2 receptor,0,cognate,2026-05-05
P0DMS8,AA3R_HUMAN,ADORA3,Adenosine receptor A3,,318,cognate,,21,A3 receptor,0,cognate,2026-05-05
P16473,TSHR_HUMAN,TSHR,Thyrotropin receptor,,764,unknown,,255,TSH receptor,0,cognate,2026-05-05
P21728,DRD1_HUMAN,DRD1,D(1A) dopamine receptor,,446,unknown,,214,D1 receptor,0,cognate,2026-05-05
P25025,CXCR2_HUMAN,CXCR2,C-X-C chemokine receptor type 2,,360,unknown,,69,CXCR2,0,cognate,2026-05-05
P25103,NK1R_HUMAN,TACR1,Substance-P receptor,,407,cognate,,360,NK1 receptor,0,cognate,2026-05-05
P25106,ACKR3_HUMAN,ACKR3,Atypical chemokine receptor 3,,362,unknown,"Atypical chemokine receptor that controls chemokine levels and localization via high-affinity chemokine binding that is uncoupled from classic ligand-driven signal transduction cascades, resulting instead in chemokine sequestration, degradation, or transcytosis. Chemokine binding does not activate G-protein-mediated signal transduction but instead induces beta-arrestin recruitment, leading to ligand internalization and activation of MAPK signaling pathway (PubMed:16940167, PubMed:18653785, PubMed:20018651).",80,ACKR3,0,cognate,2026-05-05
P25929,NPY1R_HUMAN,NPY1R,Neuropeptide Y receptor type 1,,384,unknown,,305,Y1 receptor,0,cognate,2026-05-05
P28335,5HT2C_HUMAN,HTR2C,5-hydroxytryptamine receptor 2C,,458,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:18703043, PubMed:29398112).",8,5-HT2C receptor,0,cognate,2026-05-05
P29275,AA2BR_HUMAN,ADORA2B,Adenosine receptor A2b,,332,cognate,,20,A2B receptor,0,cognate,2026-05-05
P29371,NK3R_HUMAN,TACR3,Neuromedin-K receptor,,465,unknown,,362,NK3 receptor,0,cognate,2026-05-05
P30542,AA1R_HUMAN,ADORA1,Adenosine receptor A1,,326,unknown,,18,A1 receptor,0,cognate,2026-05-05
P30968,GNRHR_HUMAN,GNRHR,Gonadotropin-releasing hormone receptor,,328,unknown,,256,GnRH1 receptor,0,cognate,2026-05-05
P31391,SSR4_HUMAN,SSTR4,Somatostatin receptor type 4,,388,unknown,,358,SST4 receptor,0,cognate,2026-05-05
P32239,GASR_HUMAN,CCKBR,Gastrin/cholecystokinin type B receptor,,447,unknown,,77,CCK2 receptor,0,cognate,2026-05-05
P32241,VIPR1_HUMAN,VIPR1,Vasoactive intestinal polypeptide receptor 1,,457,unknown,"Binds VIP and both PACAP27 and PACAP38 bioactive peptides with the following order of ligand affinity VIP = PACAP27 > PACAP38 (PubMed:35477937, PubMed:8179610). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors.",371,VPAC1 receptor,0,cognate,2026-05-05
P32246,CCR1_HUMAN,CCR1,C-C chemokine receptor type 1,,355,unknown,"When activated by its ligands including CCL3, CCL5-9, CCL13-16 and CCL23, triggers a signaling cascade within immune cells, leading to their migration towards the source of the chemokine (PubMed:15905581, PubMed:38417634).",58,CCR1,0,cognate,2026-05-05
P34982,OR1D2_HUMAN,OR1D2,Olfactory receptor 1D2,,312,unknown,,,,,unknown,2026-05-05
P34995,PE2R1_HUMAN,PTGER1,Prostaglandin E2 receptor EP1 subtype,,402,unknown,,340,EP1 receptor,0,cognate,2026-05-05
P35414,APJ_HUMAN,APLNR,Apelin receptor,,380,unknown,"G protein-coupled receptor for peptide hormones apelin (APLN) and apelin receptor early endogenous ligand (APELA/ELA), that plays a role in the regulation of normal cardiovascular function and fluid homeostasis (PubMed:11090199, PubMed:22810587, PubMed:25639753, PubMed:28137936, PubMed:35817871, PubMed:38428423). However, the presence of apelin ligand blunts cardiac hypertrophic induction from APLNR/APJ on response to pathological stimuli (PubMed:22810587, PubMed:38428423).",36,apelin receptor,0,cognate,2026-05-05
P35462,DRD3_HUMAN,DRD3,D(3) dopamine receptor,,400,cognate,,216,D3 receptor,0,cognate,2026-05-05
P41145,OPRK_HUMAN,OPRK1,Kappa-type opioid receptor,,380,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase.",318,&kappa; receptor,0,cognate,2026-05-05
P41146,OPRX_HUMAN,OPRL1,Nociceptin receptor,,370,unknown,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors.,320,NOP receptor,1,orphan,2026-05-05
P41968,MC3R_HUMAN,MC3R,Melanocortin receptor 3,,323,cognate,,284,MC3 receptor,0,cognate,2026-05-05
P46089,GPR3_HUMAN,GPR3,G-protein coupled receptor 3,,330,unknown,"Essential activator of thermogenic adipocytes, where it drives thermogenesis via constitutive G(s)-coupling activity in the absence of ligand (PubMed:34048700).",83,GPR3,0,cognate,2026-05-05
P46094,XCR1_HUMAN,XCR1,Chemokine XC receptor 1,,333,unknown,,75,XCR1,0,cognate,2026-05-05
P47211,GALR1_HUMAN,GALR1,Galanin receptor type 1,,349,unknown,,243,GAL1 receptor,0,cognate,2026-05-05
P47871,GLR_HUMAN,GCGR,Glucagon receptor,,477,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase (PubMed:32193322, PubMed:38346960).",251,glucagon receptor,0,cognate,2026-05-05
P47900,P2RY1_HUMAN,P2RY1,P2Y purinoceptor 1,,373,cognate,,323,P2Y1 receptor,0,cognate,2026-05-05
P48039,MTR1A_HUMAN,MTNR1A,Melatonin receptor type 1A,,350,cognate,,287,MT1 receptor,0,cognate,2026-05-05
P48960,AGRE5_HUMAN,ADGRE5,Adhesion G protein-coupled receptor E5,,835,unknown,,177,ADGRE5,1,orphan,2026-05-05
P49019,HCAR3_HUMAN,HCAR3,Hydroxycarboxylic acid receptor 3,,387,cognate,,313,HCA3 receptor,0,cognate,2026-05-05
P49238,CX3C1_HUMAN,CX3CR1,CX3C chemokine receptor 1,,355,unknown,,74,CX3CR1,0,cognate,2026-05-05
P50406,5HT6R_HUMAN,HTR6,5-hydroxytryptamine receptor 6,,440,cognate,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:35714614).,11,5-HT6 receptor,0,cognate,2026-05-05
Q01718,ACTHR_HUMAN,MC2R,Adrenocorticotropic hormone receptor,,297,cognate,,283,MC2 receptor,1,orphan,2026-05-05
Q13255,GRM1_HUMAN,GRM1,Metabotropic glutamate receptor 1,,1194,cognate,Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors.,289,mGlu1 receptor,0,cognate,2026-05-05
Q14246,AGRE1_HUMAN,ADGRE1,Adhesion G protein-coupled receptor E1,,886,orphan,,182,ADGRE1,1,orphan,2026-05-05
