
accession,gene,class
O00144,FZD9,F
O00155,GPR25,A
O00222,GRM8,C
O00254,F2RL2,A
O00270,GPR31,A
O00421,CCRL2,A
O00574,CXCR6,A
O00590,ACKR2,A
O14514,ADGRB1,B2
O14804,TAAR5,A
O14842,FFAR1,A
O14843,FFAR3,A
O15303,GRM6,C
O15354,GPR37,A
O15529,GPR42,A
O15552,FFAR2,A
O43193,MLNR,A
O43194,GPR39,A
O43603,GALR2,A
O43613,HCRTR1,A
O43614,HCRTR2,A
O43749,OR1F1,A
O60241,ADGRB2,B2
O60242,ADGRB3,B2
O60353,FZD6,F
O60755,GALR3,A
O60883,GPR37L1,A
O75084,FZD7,F
O75473,LGR5,A
O75899,GABBR2,C
O94910,ADGRL1,B2
O95047,OR2A4,A
O95136,S1PR2,A
O95490,ADGRL2,B2
O95977,S1PR4,A
P03999,OPN1SW,A
P04000,OPN1LW,A
P04001,OPN1MW,A
P04201,MAS1,A
P07550,ADRB2,A
P08100,RHO,A
P08172,CHRM2,A
P08173,CHRM4,A
P08588,ADRB1,A
P08908,HTR1A,A
P08912,CHRM5,A
P08913,ADRA2A,A
P0DMS8,ADORA3,A
P11229,CHRM1,A
P13945,ADRB3,A
P14416,DRD2,A
P16473,TSHR,A
P18089,ADRA2B,A
P18825,ADRA2C,A
P20309,CHRM3,A
P21452,TACR2,A
P21453,S1PR1,A
P21462,FPR1,A
P21554,CNR1,A
P21728,DRD1,A
P21730,C5AR1,A
P21731,TBXA2R,A
P21917,DRD4,A
P21918,DRD5,A
P22888,LHCGR,A
P23945,FSHR,A
P24530,EDNRB,A
P25021,HRH2,A
P25024,CXCR1,A
P25025,CXCR2,A
P25089,FPR3,A
P25090,FPR2,A
P25100,ADRA1D,A
P25101,EDNRA,A
P25103,TACR1,A
P25105,PTAFR,A
P25106,ACKR3,A
P25116,F2R,A
P25929,NPY1R,A
P28221,HTR1D,A
P28222,HTR1B,A
P28223,HTR2A,A
P28335,HTR2C,A
P28336,NMBR,A
P28566,HTR1E,A
P29274,ADORA2A,A
P29275,ADORA2B,A
P29371,TACR3,A
P30411,BDKRB2,A
P30518,AVPR2,A
P30542,ADORA1,A
P30550,GRPR,A
P30556,AGTR1,A
P30559,OXTR,A
P30872,SSTR1,A
P30874,SSTR2,A
P30939,HTR1F,A
P30968,GNRHR,A
P30988,CALCR,B1
P30989,NTSR1,A
P31391,SSTR4,A
P32238,CCKAR,A
P32239,CCKBR,A
P32241,VIPR1,B1
P32245,MC4R,A
P32246,CCR1,A
P32247,BRS3,A
P32248,CCR7,A
P32249,GPR183,A
P32302,CXCR5,A
P32745,SSTR3,A
P33032,MC5R,A
P34969,HTR7,A
P34972,CNR2,A
P34981,TRHR,A
P34982,OR1D2,A
P34995,PTGER1,A
P34998,CRHR1,B1
P35346,SSTR5,A
P35348,ADRA1A,A
P35367,HRH1,A
P35368,ADRA1B,A
P35372,OPRM1,A
P35408,PTGER4,A
P35414,APLNR,A
P35462,DRD3,A
P37288,AVPR1A,A
